Minimum occurences,Recall Without,Precision Without,F1-measure Without,Nr Relations Without,Recall With,Precision With,F1-measure With,Nr Relations With
130,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
131,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
132,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
133,0.09302325581395349,0.5348837209302325,0.15848406546080965,43,0.08914728682170543,0.5945945945945946,0.15504826106940403,37
134,0.09302325581395349,0.5348837209302325,0.15848406546080965,43,0.08914728682170543,0.5945945945945946,0.15504826106940403,37
135,0.09302325581395349,0.5348837209302325,0.15848406546080965,43,0.08914728682170543,0.5945945945945946,0.15504826106940403,37
136,0.09302325581395349,0.5348837209302325,0.15848406546080965,43,0.08914728682170543,0.5945945945945946,0.15504826106940403,37
137,0.09302325581395349,0.5348837209302325,0.15848406546080965,43,0.08914728682170543,0.5945945945945946,0.15504826106940403,37
138,0.09302325581395349,0.5348837209302325,0.15848406546080965,43,0.08914728682170543,0.5945945945945946,0.15504826106940403,37
139,0.09302325581395349,0.5348837209302325,0.15848406546080965,43,0.08914728682170543,0.5945945945945946,0.15504826106940403,37
140,0.08914728682170543,0.5238095238095238,0.15236374585968082,42,0.08527131782945736,0.5833333333333334,0.14879227053140096,36
141,0.08914728682170543,0.5238095238095238,0.15236374585968082,42,0.08527131782945736,0.5833333333333334,0.14879227053140096,36
142,0.08914728682170543,0.5238095238095238,0.15236374585968082,42,0.08527131782945736,0.5833333333333334,0.14879227053140096,36
143,0.08914728682170543,0.5238095238095238,0.15236374585968082,42,0.08527131782945736,0.5833333333333334,0.14879227053140096,36
144,0.08527131782945736,0.5121951219512195,0.1462025316455696,41,0.08139534883720931,0.5714285714285714,0.14249363867684478,35
145,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
146,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
147,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
148,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
149,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
150,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
151,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
152,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
153,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
154,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
155,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
156,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
157,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
158,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
159,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
160,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
161,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
162,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
163,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
164,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
165,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
166,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
167,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
